"Članica";"Kratica";"Program";"Členitev";"Način";"Stopnja";"Letnik";"Spol";"Državljanstvo";"UTEZ"
"Filozofska fakulteta";"UL FF";"Azijske študije";"Koreanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SRBIJA";1
"Filozofska fakulteta";"UL FF";"Francistika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Koreanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"BOSNA IN HERCEGOVINA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Bibliotekarstvo in informatika";"Bibliotekarstvo in informatika - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Nemščina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Germanistika - dvopredmetna smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Splošno jezikoslovje";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Filozofija";"Filozofija - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Rusistika - dvopredmetna prevajalska smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"IZREDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Splošno jezikoslovje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"IZREDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Rusistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Geografija";"Geografija - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Filozofija";"Filozofija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Rusistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Rusistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Južnoslovanski študiji";"Prevajalska smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SRBIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Splošno jezikoslovje";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Bibliotekarstvo in informatika";"Bibliotekarstvo in informatika - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Sinologija - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SRBIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Filozofija";"Filozofija - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Geografija";"Geografija - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Germanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Rusistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Splošno jezikoslovje";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Koreanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"HRVAŠKA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Italijanski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Filozofija";"Filozofija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Splošno jezikoslovje";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Japonologija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"HRVAŠKA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Germanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Češki jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Portugalski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Bibliotekarstvo in informatika";"Bibliotekarstvo in informatika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Geografija";"Geografija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Filozofija";"Filozofija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Germanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Muzikologija";"Muzikologija – dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Germanistika - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Prevajalstvo";"Slovenščina-angleščina – dvopredmetna smer ";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Zgodovina";"Zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Slovenistika";"Slovenistika - dvopredmetna smer";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Rusistika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"HRVAŠKA";1
"Filozofska fakulteta";"UL FF";"Španski jezik in književnost";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Umetnostna zgodovina";"Umetnostna zgodovina - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Japonologija - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Primerjalna književnost in literarna teorija";"Primerjalna književnost in literarna teorija - dvopredmetna smer";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
